stop_id,stop_name,stop_lat,stop_lon
371,UKW,53.1319981182057,18.0211736947224
372,Sułkowskiego - Kamienna,53.1368660250929,18.0249549130926
373,Sułkowskiego - Kamienna,53.1353498616149,18.0233978377125
374,UKW,53.1308445489467,18.0212721326269
376,Zbożowy Rynek,53.1199751846188,18.0026912173268
377,Glinki - Polon,53.0942972007862,18.0449274336004
378,Glinki - Eltra,53.0918565183652,18.0443665847768
379,Glinki BFM,53.089385466716,18.0439380984069
380,Glinki - Eltra,53.0916926492244,18.0444446388699
381,Glinki - Polon,53.0951929414133,18.0443632678047
382,Mickiewicza - Teatr Polski,53.1310729590214,18.0129748944197
384,Plac Piastowski,53.1319469086774,17.9968877198378
386,Morska,53.1296979807629,18.0552512369235
387,Rondo Wielkopolskie,53.1283093214018,18.0212436698666
388,Rondo Ossolińskich,53.1270526309604,18.0161918769665
389,Jagiellońska - Piotrowskiego,53.1234410660493,18.0142794469101
390,Skorupki,53.1082483268289,17.9765885502538
392,Ogińskiego - Moniuszki,53.1265702278374,18.0206730838761
393,Belma,53.1251547501788,17.898644366633
394,Łochowska,53.1306247295054,17.8989080979985
395,Nakielska - Notecka,53.1346214923634,17.9105264673935
396,Nakielska - Iglasta,53.1332831610392,17.920738095934
398,Nakielska - Stawowa,53.1263666744983,17.9759426830192
399,Nakielska - Widok,53.1311893300604,17.9472996512295
400,Nakielska - Pijarów,53.1320673321748,17.9405267186924
401,Nakielska - Wiśniowa,53.1323115212339,17.9342784912888
402,Nakielska - Żywiecka,53.1329529382777,17.9246630714614
403,Nakielska - Tarnowska,53.1338259826908,17.9173059544876
404,Nakielska - Notecka,53.1346158614983,17.9111241969746
405,Nakielska - Lisia,53.1337796014369,17.9052361655888
406,Łochowska,53.1302975308737,17.8990505226909
407,Nad Torem - Orlicza,53.1420659412485,17.9630451551228
408,Nad Torem - Karolewska,53.1470724436307,17.9624178201669
409,Opławiec - Internat,53.1949461231876,17.966857908641
410,Nad Torem - Chmurna,53.150185569398,17.9598200860588
411,Nad Torem - Karolewska,53.1458773628781,17.9623803815001
412,Skłodowskiej-Curie - Jurasza,53.1262227286653,18.0307999352265
413,Skłodowskiej-Curie - Gajowa,53.1265251174294,18.0425573121895
414,Skłodowskiej-Curie - Bałtycka,53.1263589621777,18.0469409841185
415,Skłodowskiej-Curie - Gajowa,53.1266072347132,18.0421594541849
416,Skłodowskiej-Curie - Jurasza,53.126253227891,18.0303087226979
448,Glinki - Cmentarna,53.1092393642151,18.0186205447002
479,Podkowa,53.1762109092853,18.0153161661161
482,Garbary,53.1257468703457,17.9927633789644
540,Gdańska - Jeździecka,53.1717213605972,18.0517430183982
638,Bielawy,53.1324273337,18.0332854013821
646,Bielawy koniec,53.1321743087586,18.0336862326392
720,Czerkaska - Sułkowskiego,53.1401622050128,18.0265326397791
728,Kamienna - Sułkowskiego,53.1358691010196,18.0252586658477
799,Kazimierza Wielkiego - Toruńska,53.115224316224,18.058214883278
800,Błonie,53.1147799739563,17.9606142823246
802,Zaświat - Artyleryjska,53.1395778104402,18.0013224679483
803,Zaświat - Artyleryjska,53.1396365670988,18.0011321539513
804,Rycerska,53.1372617415013,17.9990224785894
805,Plac Poznański,53.1216881859986,17.9860832343435
806,Mokra,53.1103029761509,18.0708674562313
807,Chemiczna - Ogrodnictwo,53.1101387829543,18.0723502348886
808,Wyżyny,53.1081265525266,18.037252436966
811,Wyżyny,53.1078114878934,18.03832112581
812,Kapuściska,53.1021380260423,18.0603787974683
813,Chemiczna - Ogrodnictwo,53.1088798459266,18.0737399241311
814,Barwna,53.1247536612722,17.9634678870232
815,Władysława IV - Czerwonego Krzyża,53.123469135204,17.9608829622568
816,Władysława IV - Stawowa,53.1202792918299,17.9633093732698
817,Żwirki i Wigury - Jaskółcza,53.1111939151354,17.9709935276788
818,Rondo Inowrocławskie,53.1091110507717,18.0087782122173
